date,station,station_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2026-04-23,Tây Ninh,XSTN - 4K4,935353,11622,70605,95406,91158,88552,89140,15236,47880,98978,51507,65014,805,9144,402,1406,566,92
2026-04-30,Tây Ninh,XSTN - 4K5,113144,11151,95022,53457,10465,26757,92836,46464,65010,92546,43322,91110,9650,8233,4464,3206,351,51
2026-05-07,Tây Ninh,XSTN - 5K1,472012,16656,65082,91699,75957,49352,87085,26879,21028,12215,14299,75198,213,5457,6938,2092,637,93
2026-05-14,Tây Ninh,XSTN - 5K2,261628,80289,18150,8696,71643,30110,94740,27355,10709,64939,82489,15901,8196,7523,914,5317,838,90
2026-05-21,Tây Ninh,XSTN - 5K3,48987,11823,57564,24388,78089,19450,93061,46365,68630,14346,81131,16370,4855,2522,219,4788,98,97
2026-05-28,Tây Ninh,XSTN - 5K4,490332,55851,10248,65215,57607,58483,33836,77399,12078,16273,64606,2528,4055,9161,8209,5690,102,74
2026-06-04,Tây Ninh,XSTN - 6K1,936713,41445,11730,25913,34260,9753,68674,35177,85355,52012,31717,61471,1108,1078,1865,6509,41,1
2026-06-11,Tây Ninh,XSTN - 6K2,423392,17088,81579,38438,83307,67895,52799,90411,50864,34071,55367,47304,6109,2740,6119,825,616,27
2026-06-18,Tây Ninh,XSTN - 6K3,795785,73666,64646,14647,70903,32989,98517,2087,66752,58185,60326,29601,7631,5638,3794,369,387,37
2026-06-25,Tây Ninh,XSTN - 6K4,585684,83626,22457,91075,45425,10009,82721,25655,45735,55474,44236,69254,3448,4540,8921,528,330,21
2026-07-02,Tây Ninh,XSTN - 7K1,784407,94274,39642,83254,61483,95251,33060,78868,51284,99241,58413,82807,9357,5085,8898,1672,681,93
2026-07-09,Tây Ninh,XSTN - 7K2,306050,50830,91654,93553,11469,95262,57634,26427,83873,17826,8351,8686,6573,8610,724,7486,754,27
