date,station,station_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2026-04-23,An Giang,XSAG - AG-4K4,451670,64266,24467,21958,43276,91726,50019,41175,18728,53682,9965,71139,1911,6586,9668,7814,477,56
2026-04-30,An Giang,XSAG - AG-4K5,744577,95033,2034,48010,62218,67823,56471,62076,21524,96872,11513,66544,7984,798,5723,5359,171,49
2026-05-07,An Giang,XSAG - AG-5K1,642819,28999,62595,7166,33739,36917,24203,51744,91893,7307,76524,253,8858,5279,7627,8102,470,1
2026-05-14,An Giang,XSAG - AG-5K2,194241,80679,33513,91561,88175,95003,62502,27378,545,11899,306,17127,1552,6162,765,1076,859,10
2026-05-21,An Giang,XSAG - AG-5K3,898665,78187,6864,51525,93923,12340,64200,30442,72565,69719,8577,38256,1826,8586,7679,605,123,66
2026-05-28,An Giang,XSAG - AG-5K4,377962,58783,97431,24198,30102,26611,70238,22071,71935,84472,74682,597,7319,9247,2584,8849,54,86
2026-06-04,An Giang,XSAG - AG-6K1,827417,39822,61739,49972,18558,95269,25412,61370,83758,57095,66199,4737,4602,6880,5902,6720,564,52
2026-06-11,An Giang,XSAG - AG-6K2,491238,74585,83006,60502,7369,86883,64914,41482,81454,75763,95551,50093,4696,7923,490,8308,286,43
2026-06-18,An Giang,XSAG - AG-6K3,534092,5789,32493,3206,41498,96376,98771,2732,11112,48237,53369,51327,2452,7261,6754,1885,506,77
2026-06-25,An Giang,XSAG - AG-6K4,991913,60009,24645,91250,35891,48395,895,60515,41190,85095,13477,26276,9291,5440,2072,6089,486,49
2026-07-02,An Giang,XSAG - AG-7K1,533429,29827,52359,35026,59088,51098,2518,72764,45199,58343,90827,36837,2587,8802,9514,8273,708,97
2026-07-09,An Giang,XSAG - AG-7K2,622936,15860,28251,38344,93766,47742,54035,25932,83121,3597,29534,4726,3388,5921,8134,7068,907,6
