date,station,station_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2026-04-23,Bình Thuận,XSBTH - 4K4,154002,11452,45257,15378,34704,86510,49733,71460,66497,72513,56425,88616,1311,8230,9030,8743,78,31
2026-04-30,Bình Thuận,XSBTH - 4K5,561565,41402,21367,73418,74374,32583,23766,40289,18986,57966,94185,25919,9405,5882,1991,3997,628,10
2026-05-07,Bình Thuận,XSBTH - 5K1,961493,21183,52782,63627,1897,33178,83462,39637,9480,86260,34282,23959,7328,2948,246,1879,144,13
2026-05-14,Bình Thuận,XSBTH - 5K2,859600,54119,70529,58083,8003,87201,68233,1262,40500,42881,63857,88450,3600,2938,9035,4450,755,61
2026-05-21,Bình Thuận,XSBTH - 5K3,332731,40736,85259,57796,8506,44180,93847,82170,91057,72487,85316,83424,8121,5028,6337,4889,74,66
2026-05-28,Bình Thuận,XSBTH - 5K4,180200,33365,36340,19584,42289,66670,53045,94538,37971,17497,31357,12829,9645,130,6457,3378,751,46
2026-06-04,Bình Thuận,XSBTH - 6K1,88367,98734,64555,63823,81822,10067,56150,61143,67505,36026,94391,93331,233,1991,2118,1816,905,3
2026-06-11,Bình Thuận,XSBTH - 6K2,146616,79507,4433,24601,95219,15023,75305,77760,92082,30529,5851,14558,7382,4022,5581,3883,600,88
2026-06-18,Bình Thuận,XSBTH - 6K3,818562,61403,51643,19819,62840,23564,92637,51050,51722,77156,78416,87293,7939,1695,7670,2971,375,98
2026-06-25,Bình Thuận,XSBTH - 6K4,727953,65681,55411,55687,37801,90833,30287,99020,2125,34153,24647,65381,5924,2385,3384,6414,324,66
2026-07-02,Bình Thuận,XSBTH - 7K1,272594,16407,39102,69922,17991,58655,19997,2437,93563,74443,72127,38658,5079,6359,8973,7487,800,65
2026-07-09,Bình Thuận,XSBTH - 7K2,763530,32946,23369,47742,34981,79965,57609,91542,52404,96779,74905,62259,5324,1786,6328,5235,362,36
