date,station,station_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-10-24,Vĩnh Long,XSVL - 46VL43,478354,75411,66196,39829,94618,4500,69205,2371,20163,51905,7846,86094,4398,5858,4925,1590,908,16
2025-10-31,Vĩnh Long,XSVL - 46VL44,930283,62899,87633,93714,97800,61200,27998,11875,35621,46523,26162,28102,9483,1110,8745,5911,306,16
2025-11-07,Vĩnh Long,XSVL - 46VL45,791214,52663,91802,83673,71647,15146,21424,96119,69163,73482,13185,89831,1943,1089,863,4532,412,36
2025-11-14,Vĩnh Long,XSVL - 46VL46,231890,26721,69656,8197,74894,58014,25753,32122,85182,56030,92570,29102,7343,3792,3032,2597,588,58
2025-11-21,Vĩnh Long,XSVL - 46VL47,361844,73791,4507,99929,48324,99043,17780,78926,43651,44542,30352,31509,7855,5098,7769,8142,316,31
2025-11-28,Vĩnh Long,XSVL - 46VL48,138537,75669,31121,80813,77891,42147,78058,21672,61448,84401,74189,83680,6377,8772,3525,8891,300,30
2025-12-05,Vĩnh Long,XSVL - 46VL49,250816,74269,42492,71467,18140,85835,75797,85389,87990,93540,39757,6775,3938,5945,5037,6279,652,18
2025-12-12,Vĩnh Long,XSVL - 46VL50,427140,60340,71620,13403,53969,33275,60510,96275,37853,93830,17238,49960,2602,8104,6744,8027,879,93
2025-12-19,Vĩnh Long,XSVL - 46VL51,665848,52307,38186,74763,18917,3356,395,6242,44790,11912,32332,200,1648,5696,1411,2658,85,50
2025-12-26,Vĩnh Long,XSVL - 46VL52,808138,9201,28379,11497,30955,3537,39330,37521,49685,69045,35795,6950,3718,3720,7977,2903,961,17
2026-01-02,Vĩnh Long,XSVL - 47VL01,492364,73749,84993,61003,14821,86244,4321,68523,75369,74898,37092,86098,2154,4292,160,6580,149,8
2026-01-09,Vĩnh Long,XSVL - 47VL02,147642,49071,13918,3356,19292,88005,99376,70357,31995,1660,50469,56722,2697,6913,9915,5321,94,26
2026-01-16,Vĩnh Long,XSVL - 47VL03,670271,87619,30287,49772,57266,48505,30979,5873,69379,98320,81299,53161,3940,6645,3162,3187,350,21
2026-01-23,Vĩnh Long,XSVL - 47VL04,42663,6493,56424,37749,3479,50064,61120,64669,4422,39717,64023,43304,1225,2243,8362,6622,425,59
2026-01-30,Vĩnh Long,XSVL - 47VL05,141867,53974,11773,69667,60031,55260,57320,13638,97125,42698,84541,44400,2580,359,1577,4803,868,22
2026-02-06,Vĩnh Long,XSVL - 47VL06,799293,28371,47045,69150,20304,95598,76122,69355,73428,73792,33414,72865,7819,2355,4559,7652,198,5
2026-02-13,Vĩnh Long,XSVL - 47VL07,991084,42193,73112,358,24118,25220,15418,40005,31751,82164,13210,72482,6150,2122,1698,8430,506,41
2026-02-20,Vĩnh Long,XSVL - 47VL08,390675,74835,96724,45323,7030,57060,27645,82011,33469,28762,1654,50949,9664,8481,5935,2001,756,59
2026-02-27,Vĩnh Long,XSVL - 47VL09,274039,84184,78246,76187,86076,21554,44423,1034,1245,51475,6433,29205,6496,3880,3094,8018,536,90
2026-03-06,Vĩnh Long,XSVL - 47VL10,462757,27863,10330,10260,32590,96239,65781,70605,5747,25670,77770,97136,5198,6778,3671,2952,419,60
2026-03-13,Vĩnh Long,XSVL - 47VL11,484908,79595,3543,4100,29891,72940,96265,16299,95038,88412,68592,73503,9874,3496,2732,5701,410,48
2026-03-20,Vĩnh Long,XSVL - 47VL12,702348,87769,33066,65523,75401,99616,17188,68955,11779,32465,53215,58531,526,1454,1053,8571,27,46
2026-03-27,Vĩnh Long,XSVL - 47VL13,68687,27777,88745,24053,42937,83199,93454,95845,33636,10787,21131,78650,7395,4300,7403,4928,872,7
2026-04-03,Vĩnh Long,XSVL - 47VL14,537949,63926,48391,38712,46099,84303,3395,7274,22649,86187,17730,51231,7864,7292,9883,9201,303,69
2026-04-10,Vĩnh Long,XSVL - 47VL15,760016,38865,58034,51395,20138,30403,77546,98049,43262,35826,60658,2728,900,2160,6750,6856,456,66
