date,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2026-03-14,52,24,86,80,92,97,0,37,65,12,25,52,67,48,27,34,63,91
2026-03-16,69,75,81,77,22,7,20,26,16,43,64,51,69,42,67,95,26,1
2026-03-21,30,24,41,99,61,11,2,24,69,24,69,61,36,12,3,72,83,12
2026-03-23,93,80,22,29,93,51,81,35,6,49,21,63,94,86,52,5,28,4
2026-03-28,79,38,98,24,16,14,8,51,93,3,72,7,58,41,11,32,40,61
2026-03-30,74,7,81,21,24,40,44,59,33,25,24,4,65,68,43,5,78,77
2026-04-04,91,50,51,37,61,33,31,75,87,94,14,2,16,55,25,18,69,0
2026-04-06,65,63,26,68,86,8,20,47,62,66,91,31,22,87,38,94,31,97
2026-04-11,28,69,80,31,72,47,3,14,4,6,22,3,44,9,86,3,61,94
2026-04-13,31,1,44,32,70,84,6,17,30,44,26,3,74,48,19,55,54,48
2026-04-18,56,11,65,71,94,47,67,93,14,69,45,65,56,58,84,52,84,76
2026-04-20,6,90,39,55,75,46,30,4,71,41,1,37,87,64,41,30,80,12
2026-04-25,65,78,64,80,83,93,27,71,4,81,2,94,6,93,7,65,12,52
2026-04-27,3,27,42,96,5,13,30,80,3,52,1,44,66,58,88,71,84,69
2026-05-02,79,83,54,59,94,9,66,73,68,63,27,40,50,56,25,89,73,33
2026-05-04,19,61,86,46,26,30,46,84,32,40,73,99,28,60,82,41,98,41
2026-05-09,78,67,59,73,88,74,49,89,84,74,31,27,71,90,34,42,74,13
2026-05-11,54,1,81,87,44,73,30,6,18,30,6,22,42,33,67,37,27,80
2026-05-16,5,81,41,2,19,40,31,69,29,67,81,3,46,40,94,58,72,6
2026-05-18,56,65,56,71,30,91,14,21,25,21,42,24,98,37,60,57,42,80
2026-05-23,10,1,35,98,2,4,30,70,22,64,40,70,61,56,66,55,9,38
2026-05-25,79,3,91,50,58,14,85,66,85,39,84,29,43,53,93,73,60,76
2026-05-30,8,79,44,70,1,80,99,32,33,64,1,17,25,62,97,21,57,93
2026-06-01,87,34,69,3,94,64,10,73,51,33,52,53,99,44,57,6,72,8
2026-06-06,80,95,72,53,76,52,68,81,94,61,4,56,26,37,86,1,2,95
2026-06-08,61,26,29,85,0,34,52,54,55,52,77,95,60,95,87,71,39,75
2026-06-13,19,3,8,57,53,39,64,87,78,96,41,33,17,93,85,92,65,74
2026-06-15,22,82,67,50,29,40,51,62,97,57,68,40,40,5,7,97,16,34
2026-06-20,33,6,88,2,8,86,42,96,50,12,23,47,81,71,51,16,6,33
2026-06-22,54,58,64,66,39,30,22,8,68,93,47,3,11,80,15,94,47,68
2026-06-27,65,54,78,90,88,76,87,62,67,37,64,24,93,49,46,53,47,28
2026-06-29,37,59,30,32,64,26,96,79,50,81,52,65,52,62,46,91,8,45
2026-07-04,42,24,85,64,3,17,57,23,93,13,17,35,53,52,2,55,17,98
