date,station,station_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2026-04-14,Bến Tre,XSBTR - K15-T04,966588,50733,25790,66305,65850,20511,69975,56808,15258,94879,85385,81455,8216,1155,4575,4068,94,10
2026-04-21,Bến Tre,XSBTR - K16-T04,650472,60594,3324,92392,3634,30508,97369,55020,16495,48545,49399,87027,9602,5770,3177,5750,639,53
2026-04-28,Bến Tre,XSBTR - K17-T04,339695,79981,8360,84361,71887,66227,96872,44426,47678,7933,73468,73907,4732,6467,5005,9810,682,85
2026-05-05,Bến Tre,XSBTR - K18-T05,133509,31921,29602,34282,1507,60032,59391,94763,87352,99352,19567,36538,757,9967,6222,5220,927,95
2026-05-12,Bến Tre,XSBTR - K19-T05,408610,7865,50000,55702,88663,51707,73731,58388,83095,84501,13557,85419,7451,7725,4023,1109,423,22
2026-05-19,Bến Tre,XSBTR - K20-T05,985684,34209,63657,31587,62001,66447,88717,19969,35988,35431,96709,66991,67,5244,2209,3723,457,90
2026-05-26,Bến Tre,XSBTR - K21-T05,710634,18188,38588,35245,3197,4534,5872,38980,27832,2782,6433,46415,3254,2750,5258,8959,58,7
2026-06-02,Bến Tre,XSBTR - K22-T06,292066,60935,37050,32864,44831,95919,44482,97050,61474,61729,93594,2299,7894,4222,7264,1913,803,99
2026-06-09,Bến Tre,XSBTR - K23-T06,910547,68673,84571,33559,63705,74353,74103,1264,75689,90379,51500,65334,9172,7622,2093,9358,717,47
2026-06-16,Bến Tre,XSBTR - K24-T06,691272,77764,69953,76731,6402,57379,56071,48285,65235,58298,89623,14579,1903,431,1781,1492,2,83
2026-06-23,Bến Tre,XSBTR - K25-T06,34315,48700,17901,79709,90908,83469,93278,99472,64783,63235,48336,7470,6908,4296,3570,7282,293,25
2026-06-30,Bến Tre,XSBTR - K26-T06,773221,61687,10253,69534,55091,33014,79902,70241,43992,44354,70195,71278,7587,1802,8288,9256,250,66
2026-07-07,Bến Tre,XSBTR - K27-T07,877777,59078,83,74773,87723,31096,91065,9745,19481,41878,39406,99838,7271,1669,4092,7478,639,5
