date,station,station_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2026-04-11,Bình Phước,XSBP - 4K2-N26,307467,82303,53427,92988,23598,85563,66779,79122,90065,34446,34945,56430,4943,9193,7502,6112,520,31
2026-04-18,Bình Phước,XSBP - 4K3-N26,424189,41528,98328,87652,95389,42914,8377,28087,572,43855,76036,89407,5261,6590,598,2610,651,68
2026-04-25,Bình Phước,XSBP - 4K4-N26,548122,83121,47453,57201,57291,10948,25564,30252,14652,75699,56106,5420,1486,8626,1504,4153,341,12
2026-05-02,Bình Phước,XSBP - 5K1-N26,23315,76815,30240,79879,92702,20523,67897,82301,8656,57185,92209,17526,3746,542,9958,803,905,15
2026-05-09,Bình Phước,XSBP - 5K2-N26,370369,16210,89571,26989,18657,19275,31235,16557,56765,89126,17992,94666,32,5532,8251,4100,769,15
2026-05-16,Bình Phước,XSBP - 5K3-N26,822472,68365,80385,36505,9118,44078,22391,49354,57903,4201,83486,80152,4110,5138,8250,6552,163,83
2026-05-23,Bình Phước,XSBP - 5K4-N26,20319,28477,19190,6415,26044,47928,85595,59185,68722,92090,18849,43157,5226,4563,9908,8253,510,66
2026-05-30,Bình Phước,XSBP - 5K5-N26,6507,99062,72630,83541,88346,52490,60208,9303,23893,15203,52459,22132,5996,8866,4704,1933,470,0
2026-06-06,Bình Phước,XSBP - 6K1-N26,765936,13600,45298,31629,91255,42594,16946,61322,17398,65177,92750,9994,3350,516,5498,7862,453,97
2026-06-13,Bình Phước,XSBP - 6K2-N26,906914,21526,12591,9192,71061,3468,48168,83383,21462,53075,47584,23622,1275,1329,9573,9041,836,72
2026-06-20,Bình Phước,XSBP - 6K3-N26,660290,88820,6338,93703,99949,48621,34127,48615,32757,93077,87699,9587,752,1811,4140,4480,116,60
2026-06-27,Bình Phước,XSBP - 6K4-N26,311230,37597,37665,34668,57100,17119,42386,31483,89543,37569,30040,51208,518,4266,9522,7084,488,70
2026-07-04,Bình Phước,XSBP - 7K1-N26,660209,37773,46111,67239,87340,46035,26275,28567,53013,10055,5364,85451,9570,2860,6359,5270,881,73
2026-07-11,Bình Phước,XSBP - 7K2-N26,87990,95576,72550,48388,92355,65233,32508,59867,90453,79152,90939,90937,877,7390,5458,4974,715,96
